uf;localidade;CEP;expr.;rodo;tarifa;frap;distribuidor;redespacho
MG;SALINAS;39560000; 04; 05;Interior;Sim;CO MONTES CLAROS 01;
MG;SALTO DA DIVISA;39925000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SANTA BARBARA;35960000; 03; 04;Capital;Sim;CO JOAO MONLEVADE 01;
MG;SANTA BARBARA DO LESTE;35328000; 03; 04;Interior;Sim;CO IPATINGA 01;
MG;SANTA BARBARA DO MONTE VERDE;36132000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SANTA BARBARA DO TUGURIO;36215000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SANTA CRUZ DE MINAS;36328000; 02; 03;Interior;Sim;CO BARBACENA 01;
MG;SANTA CRUZ DE SALINAS;39563000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SANTA CRUZ DO ESCALVADO;35384000; 04; 05;Interior;Nao;CO PONTE NOVA 01;
MG;SANTA EFIGENIA DE MINAS;39725000; 05; 06;Interior;Nao;CO GOV VALADARES 01;
MG;SANTA FE DE MINAS;39295000; 03; 04;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SANTA HELENA DE MINAS;39874000; 05; 06;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SANTA JULIANA;38175000; 03; 04;Interior;Nao;HB UBERLANDIA;
MG;SANTA LUZIA;33000000 a 33199999; 02; 03;Capital;Sim;CO SANTA LUZIA 01;
MG;SANTA MARGARIDA;36910000; 06; 08;Interior;Nao;CO MANHUACU 01;
MG;SANTA MARIA DE ITABIRA;35910000; 03; 04;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SANTA MARIA DO SALTO;39928000; 07; 10;Interior;Sim;FL JAD BELO HORIZONTE;
MG;SANTA MARIA DO SUACUI;39780000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SANTA RITA DE CALDAS;37775000; 03; 04;Interior;Sim;CO POCOS DE CALDAS 01;
MG;SANTA RITA DE JACUTINGA;36135000; 03; 04;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SANTA RITA DE MINAS;35326000; 03; 04;Interior;Sim;CO IPATINGA 01;
MG;SANTA RITA DO IBITIPOCA;36235000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SANTA RITA DO ITUETO;35225000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SANTA RITA DO SAPUCAI;37540000; 01; 02;Capital;Sim;CO STA RITA DO SAPUCAI 01;
MG;SANTA ROSA DA SERRA;38805000; 04; 05;Interior;Nao;HB UBERLANDIA;
MG;SANTA TEREZINHA DE MINAS;35688000; 03; 04;Interior;Nao;CO MATEUS LEME 01;
MG;SANTA VITORIA;38320000; 04; 05;Interior;Sim;CO ITUIUTABA 01;
MG;SANTANA DA VARGEM;37195000; 03; 04;Interior;Sim;CO LAVRAS 01;
MG;SANTANA DE CATAGUASES;36795000; 04; 05;Interior;Nao;CO CATAGUASES 01;
MG;SANTANA DE PIRAPAMA;35785000; 03; 04;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SANTANA DO DESERTO;36620000; 02; 03;Interior;Sim;CO TRES RIOS 01;
MG;SANTANA DO GARAMBEU;36146000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SANTANA DO JACARE;37278000; 03; 04;Interior;Sim;CO LAVRAS 01;
MG;SANTANA DO MANHUACU;36940000; 06; 08;Interior;Nao;CO MANHUACU 01;
MG;SANTANA DO PARAISO;35167000; 04; 05;Capital;Nao;CO IPATINGA 01;
MG;SANTANA DO RIACHO;35845000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SANTANA DOS MONTES;36430000; 04; 05;Interior;Nao;CO CONSELHEIRO LAFAIETE 01;
MG;SANTO ANTONIO DO AMPARO;37262000; 03; 04;Interior;Sim;CO LAVRAS 01;
MG;SANTO ANTONIO DO AVENTUREIRO;36670000; 05; 06;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SANTO ANTONIO DO GRAMA;35388000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SANTO ANTONIO DO ITAMBE;39160000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SANTO ANTONIO DO JACINTO;39935000; 07; 10;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SANTO ANTONIO DO MONTE;35560000; 02; 03;Interior;Sim;CO LAGOA DA PRATA 01;
MG;SANTO ANTONIO DO RETIRO;39538000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SANTO ANTONIO DO RIO ABAIXO;35880000; 03; 04;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SANTO ANTONIO DOS CAMPOS;35505000; 04; 06;Capital;Sim;CO DIVINOPOLIS 02;
MG;SANTO HIPOLITO;39210000; 05; 06;Interior;Nao;CO CURVELO 01;
MG;SANTOS DUMONT;36240000; 03; 04;Interior;Sim;CO JUIZ DE FORA 01;
MG;SAO BENTO ABADE;37414000; 02; 03;Interior;Nao;CO TRES CORACOES 01;
MG;SAO BRAS DO SUACUI;35495000; 04; 05;Interior;Sim;CO CONSELHEIRO LAFAIETE 01;
MG;SAO DOMINGOS DAS DORES;35335000; 04; 05;Interior;Sim;CO IPATINGA 01;
MG;SAO DOMINGOS DO PRATA;35995000; 04; 05;Interior;Nao;CO JOAO MONLEVADE 01;
MG;SAO FELIX DE MINAS;35275000; 05; 06;Interior;Nao;CO GOV VALADARES 01;
MG;SAO FRANCISCO;39300000; 05; 06;Interior;Sim;CO MONTES CLAROS 01;
MG;SAO FRANCISCO DE PAULA;35543000; 03; 04;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SAO FRANCISCO DE SALES;38260000; 03; 04;Interior;Sim;CO ITUIUTABA 01;
MG;SAO FRANCISCO DO GLORIA;36810000; 05; 07;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SAO GERALDO;36530000; 03; 04;Capital;Sim;CO VISCONDE DO RIO BRANCO 01;
MG;SAO GERALDO DA PIEDADE;39723000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SAO GERALDO DO BAIXIO;35258000; 05; 06;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SAO GONCALO DO ABAETE;38790000; 03; 04;Interior;Nao;CO PATOS DE MINAS 01;
MG;SAO GONCALO DO PARA;35516000; 03; 04;Interior;Sim;CO DIVINOPOLIS 02;
MG;SAO GONCALO DO RIO ABAIXO;35935000; 02; 03;Interior;Sim;CO JOAO MONLEVADE 01;
MG;SAO GONCALO DO RIO PRETO;39185000; 03; 04;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SAO GONCALO DO SAPUCAI;37490000; 03; 04;Interior;Sim;CO POUSO ALEGRE 01;
MG;SAO GOTARDO;38800000; 02; 03;Capital;Sim;CO SAO GOTARDO 01;
MG;SAO JOAO BATISTA DO GLORIA;37920000; 04; 05;Interior;Nao;CO PASSOS 01;
MG;SAO JOAO DA LAGOA;39355000; 04; 05;Interior;Sim;CO MONTES CLAROS 01;
MG;SAO JOAO DA MATA;37568000; 05; 06;Interior;Sim;CO ALFENAS 01;
MG;SAO JOAO DA PONTE;39430000; 04; 05;Interior;Sim;CO MONTES CLAROS 01;
MG;SAO JOAO DA SERRA NEGRA;38748000; 04; 05;Interior;Sim;CO PATOS DE MINAS 01;
MG;SAO JOAO DAS MISSOES;39475000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SAO JOAO DEL REI;36300001 a 36314999; 02; 03;Capital;Sim;CO BARBACENA 01;
MG;SAO JOAO DO MANHUACU;36918000; 06; 08;Interior;Nao;CO MANHUACU 01;
MG;SAO JOAO DO MANTENINHA;35277000; 04; 05;Interior;Nao;CO GOV VALADARES 01;
MG;SAO JOAO DO ORIENTE;35146000; 04; 05;Interior;Sim;CO IPATINGA 01;
MG;SAO JOAO DO PACUI;39365000; 05; 06;Interior;Nao;CO MONTES CLAROS 01;
MG;SAO JOAO DO PARAISO;39540000; 06; 07;Interior;Nao;CO MONTES CLAROS 01;
MG;SAO JOAO EVANGELISTA;39705000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SAO JOAO NEPOMUCENO;36680000; 02; 03;Capital;Sim;CO SAO JOAO NEPOMUCENO 01;
MG;SAO JOAQUIM DE BICAS;32920000; 05; 06;Interior;Sim;CO BETIM 01;
MG;SAO JOSE DA BARRA;37945000; 03; 04;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SAO JOSE DA LAPA;33350000; 03; 04;Capital;Sim;CO SANTA LUZIA 01;
MG;SAO JOSE DA SAFIRA;39785000; 05; 06;Interior;Nao;CO GOV VALADARES 01;
MG;SAO JOSE DA VARGINHA;35694000; 03; 04;Interior;Sim;CO NOVA SERRANA 01;
MG;SAO JOSE DO ALEGRE;37510000; 03; 04;Interior;Sim;CO ITAJUBA 01;
MG;SAO JOSE DO DIVINO;39848000; 09; 10;Interior;Nao;CO GOV VALADARES 01;
MG;SAO JOSE DO GOIABAL;35986000; 03; 04;Interior;Nao;CO TIMOTEO 01;
MG;SAO JOSE DO JACURI;39707000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SAO JOSE DO MANTIMENTO;36990000; 04; 06;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SAO LOURENCO;37470000; 03; 04;Interior;Sim;CO ITAJUBA 01;
MG;SAO MIGUEL DO ANTA;36590000; 04; 05;Interior;Sim;CO VICOSA 02;
MG;SAO PEDRO DA UNIAO;37855000; 03; 04;Interior;Nao;CO JURUAIA 01;
MG;SAO PEDRO DE CALDAS;37787000; 03; 04;Interior;Sim;CO POCOS DE CALDAS 01;
MG;SAO PEDRO DO AVAI;36906000; 02; 03;Interior;Nao;CO MANHUACU 01;
MG;SAO PEDRO DO SUACUI;39784000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SAO PEDRO DOS FERROS;35360000; 04; 05;Interior;Sim;CO IPATINGA 01;
MG;SAO ROMAO;39290000; 03; 04;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SAO ROQUE DE MINAS;37928000; 06; 07;Interior;Nao;CO FORMIGA 01;
MG;SAO SEBASTIAO DA BELA VISTA;37567000; 03; 04;Interior;Nao;CO POUSO ALEGRE 01;
MG;SAO SEBASTIAO DA VARGEM ALEGRE;36793000; 05; 06;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SAO SEBASTIAO DA VITORIA;36316000; 05; 06;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SAO SEBASTIAO DO ANTA;35334000; 05; 06;Interior;Sim;CO IPATINGA 01;
MG;SAO SEBASTIAO DO MARANHAO;39795000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SAO SEBASTIAO DO OESTE;35506000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SAO SEBASTIAO DO PARAISO;37950000; 01; 02;Capital;Sim;CO SAO SEB PARAISO 01;
MG;SAO SEBASTIAO DO PONTAL;38292000; 05; 06;Interior;Nao;CO ITUIUTABA 01;
MG;SAO SEBASTIAO DO RIO PRETO;35815000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SAO SEBASTIAO DO RIO VERDE;37467000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SAO THOME DAS LETRAS;37418000; 02; 03;Interior;Nao;CO TRES CORACOES 01;
MG;SAO TIAGO;36350000; 03; 04;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SAO TOMAS DE AQUINO;37960000; 05; 06;Interior;Nao;CO SAO SEB PARAISO 01;
MG;SAO VICENTE DE MINAS;37370000; 03; 04;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SAPUCAI-MIRIM;37690000; 05; 06;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SARDOA;39728000; 05; 06;Interior;Nao;CO GOV VALADARES 01;
